,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",1850,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
57,"no tears left to cry","Ariana Grande",1823,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
58,"Happy Now",Zedd,1815,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
59,"Look At Me!",XXXTENTACION,1811,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
60,Youngblood,"5 Seconds of Summer",1763,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
61,"Like I Love You","Lost Frequencies",1757,https://open.spotify.com/track/2ZrM2IfZelBZMZoBq9y4kj
62,"High On Life (feat. Bonn)","Martin Garrix",1751,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
63,"Blah Blah Blah","Armin van Buuren",1747,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
64,REMEDY,Alesso,1741,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
65,"One Kiss (with Dua Lipa)","Calvin Harris",1697,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
66,"Doamne Ajută!","Grasu XXL",1687,https://open.spotify.com/track/3Sg7TfJDzH52QPMzIfEW8m
67,"God's Plan",Drake,1670,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
68,"Self Care","Mac Miller",1657,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
69,"SLOW DANCING IN THE DARK",Joji,1653,https://open.spotify.com/track/0UyljEbX9dqI1K0sqdv6B6
70,changes,XXXTENTACION,1636,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
71,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",1602,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
72,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,1600,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
73,"Em Calls Paul - Skit",Eminem,1556,https://open.spotify.com/track/6B3zy3LOKHndqsviCr2z15
74,"Ocean (feat. Khalid)","Martin Garrix",1551,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
75,"Sin Pijama","Becky G",1540,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
76,"RAP DEVIL","Machine Gun Kelly",1507,https://open.spotify.com/track/63TyoT9Ee03rQxv8xmdJ2l
77,"I'm a Mess","Bebe Rexha",1481,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
78,Thunder,"Imagine Dragons",1459,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
79,Believer,"Imagine Dragons",1455,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
80,"Everybody Dies In Their Nightmares",XXXTENTACION,1453,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
81,"W O R K I N M E",Quavo,1449,https://open.spotify.com/track/33tNYw9oMtSkGe27NpgS64
82,Darkside,"Alan Walker",1418,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
83,"Ric Flair Drip (& Metro Boomin)",Offset,1409,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
84,IDGAF,"Dua Lipa",1388,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
85,"Feels Like Summer","Childish Gambino",1374,https://open.spotify.com/track/7p4vHnYXkxlzvfePJVpcTr
86,"Mo Bamba","Sheck Wes",1374,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
87,"Sincerity Is Scary","The 1975",1324,https://open.spotify.com/track/06Vthiq8nNDuT5nOcch535
88,"Mala Mía",Maluma,1319,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
89,"Call Out My Name","The Weeknd",1312,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
90,"Born To Be Yours",Kygo,1298,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
91,BEBE,6ix9ine,1285,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
92,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,1285,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
93,HUMBLE.,"Kendrick Lamar",1280,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
94,Adidasii,"Satra B.E.N.Z.",1278,https://open.spotify.com/track/6GtkVMttXtfZ7lofYgY4yX
95,"Look Alive (feat. Drake)","BlocBoy JB",1250,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
96,"Psycho (feat. Ty Dolla $ign)","Post Malone",1248,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
97,"XO TOUR Llif3","Lil Uzi Vert",1224,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
98,"The Middle",Zedd,1220,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
99,"Nephew (feat. Lil Pump)",Smokepurpp,1214,https://open.spotify.com/track/0ibOcbkp2XG46Do8jcy0bL
100,"East Atlanta Love Letter (feat. Future)",6LACK,1202,https://open.spotify.com/track/6rJmWa5DvQ3Nby3tdcX2L0
101,"Spune-Mi Tot","Grasu XXL",1185,https://open.spotify.com/track/0x0vqO22dd2eVwmJ72WP5b
102,Puterea,"Grasu XXL",1184,https://open.spotify.com/track/3Df6NJwKHuHaBMyZBpjHJ5
103,"Loaded Gun",6LACK,1172,https://open.spotify.com/track/1wb7Mqon4o1ViLjaLV9f8U
104,Flames,"David Guetta",1163,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
105,"'Till I Collapse",Eminem,1163,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
106,"Drip Too Hard","Lil Baby",1156,https://open.spotify.com/track/1BxkZE73h9BN3qwuA15TA3
107,"Want To","Dua Lipa",1153,https://open.spotify.com/track/0CBFOvHlyqy30Q5tbyNHfQ
108,Despablito,Delia,1150,https://open.spotify.com/track/27X35hanGysHxAFf7EVYi6
109,IDOL,BTS,1142,https://open.spotify.com/track/03iCbZaM4OkRR4We6wIzvx
110,"Love Someone","Lukas Graham",1136,https://open.spotify.com/track/6r3baE6njwU4aoJq6zPukG
111,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",1133,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
112,"Rewind (feat. Anthony Russo)",G-Eazy,1115,https://open.spotify.com/track/3jjj9bdY7bYWZaaWPwmOpj
113,"I Like Me Better",Lauv,1105,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
114,Nonchalant,6LACK,1104,https://open.spotify.com/track/7c3K8ifIoaVZ2MSUuGo0Co
115,Unfair,6LACK,1101,https://open.spotify.com/track/3Q33RhbyoFul9LdKKjticI
116,"Side Effects","The Chainsmokers",1101,https://open.spotify.com/track/3OtQmFLS5b3pTgIf44GQFJ
117,"Just Wanna Love You (feat. J. Balvin)","Cris Cab",1090,https://open.spotify.com/track/3d0j5Tkx2Yum7FhMvJZe85
118,"Don’t Matter To Me (with Michael Jackson)",Drake,1090,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
