,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"Taste (feat. Offset)",Tyga,4296,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
57,Havana,"Camila Cabello",4283,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
58,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,4272,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
59,Flames,"David Guetta",4246,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
60,"High Hopes","Panic! At The Disco",4242,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
61,changes,XXXTENTACION,4207,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
62,"no tears left to cry","Ariana Grande",4130,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
63,REMEDY,Alesso,3979,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
64,FRIENDS,Marshmello,3960,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
65,"Lucid Dreams","Juice WRLD",3945,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
66,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",3932,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
67,"More Than You Know","Axwell /\ Ingrosso",3874,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP
68,"Without You (feat. Sandro Cavazza)",Avicii,3871,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
69,"Svaz ceskych bohemu",Wohnout,3807,https://open.spotify.com/track/0twbASvGKPDvbWviKZcpyy
70,Zlatokop,Earth,3714,https://open.spotify.com/track/0kOIfVOjrMJAZHyMJx1ThW
71,2002,Anne-Marie,3703,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
72,Quattro,"Robin Zoot",3615,https://open.spotify.com/track/0XJjvIgIxL9Isg8zxpKk3Q
73,Moonlight,XXXTENTACION,3545,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
74,"Something Just Like This","The Chainsmokers",3503,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
75,"The Middle",Zedd,3461,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
76,"Survive (feat. Emeli Sandé, Gucci Mane)","Don Diablo",3426,https://open.spotify.com/track/0ZK4SbP0mgjTlvLiSBbhsd
77,"Remind Me to Forget",Kygo,3380,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
78,"Self Care","Mac Miller",3380,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
79,"Side Effects","The Chainsmokers",3359,https://open.spotify.com/track/3OtQmFLS5b3pTgIf44GQFJ
80,"New Rules","Dua Lipa",3352,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
81,"God is a woman","Ariana Grande",3346,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
82,Vibe,Earth,3339,https://open.spotify.com/track/4X4w3ePPB30QupDk0VLo7g
83,"Venom - Music From The Motion Picture",Eminem,3308,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
84,"Stepping Stone",Eminem,3268,https://open.spotify.com/track/60Z57Wdrn0pEVpHI7d7GAX
85,"Praise The Lord (Da Shine)","A$AP Rocky",3268,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
86,"Jocelyn Flores",XXXTENTACION,3254,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
87,BEBE,6ix9ine,3253,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
88,"Like I Love You","Lost Frequencies",3224,https://open.spotify.com/track/2ZrM2IfZelBZMZoBq9y4kj
89,Normal,Eminem,3209,https://open.spotify.com/track/0evt4UZbdhnHtcAnxkm6A1
90,"Feel It Still","Portugal. The Man",3151,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
91,Closer,"The Chainsmokers",3111,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
92,"Next To Me","Imagine Dragons",3088,https://open.spotify.com/track/31VOknKjFrEX47bZXzqcoF
93,"Ocean (feat. Khalid)","Martin Garrix",3075,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
94,"God's Plan",Drake,3047,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
95,"Dancing In The Moonlight (feat. NEIMY)",Jubel,3032,https://open.spotify.com/track/4Vs8RLrUdDXeaZbNeIOrtn
96,Perfect,"Ed Sheeran",3008,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
97,"Good Guy (feat. Jessie Reyez)",Eminem,3002,https://open.spotify.com/track/4g32MdRoqwGKQd3NXIRhpU
98,Vozíme,Ego,2979,https://open.spotify.com/track/2ZkzWeBRaUDWiM1So7KBK7
99,"Your Love","David Guetta",2909,https://open.spotify.com/track/0tgbSxoFjZ20MjfoKwWevV
100,"Sincerity Is Scary","The 1975",2903,https://open.spotify.com/track/06Vthiq8nNDuT5nOcch535
101,Sedm,"Nik Tendo",2889,https://open.spotify.com/track/7Kk3JdKFFQv1YN2hluyx1J
102,"Pretty Little Fears (feat. J. Cole)",6LACK,2879,https://open.spotify.com/track/4at3d5QWnlibMVN75ECDrp
103,"Let You Down",NF,2874,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL
104,"Love Someone","Lukas Graham",2864,https://open.spotify.com/track/6r3baE6njwU4aoJq6zPukG
105,"I Like Me Better",Lauv,2856,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
106,"Want To","Dua Lipa",2796,https://open.spotify.com/track/0CBFOvHlyqy30Q5tbyNHfQ
107,Karusel,"Sheen & Jickson",2776,https://open.spotify.com/track/0QMeqJs5bzPNgMe7LN3dON
108,Radioactive,"Imagine Dragons",2762,https://open.spotify.com/track/4G8gkOterJn0Ywt6uhqbhp
109,"Wake Me Up",Avicii,2761,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
110,"I'm Yours","Jason Mraz",2759,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
111,Connection,OneRepublic,2729,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU
112,"RAP DEVIL","Machine Gun Kelly",2718,https://open.spotify.com/track/63TyoT9Ee03rQxv8xmdJ2l
113,"Save That Shit","Lil Peep",2716,https://open.spotify.com/track/0S0vWvyZ6Rc79TXkWxT9QA
114,"Like I Do","David Guetta",2716,https://open.spotify.com/track/4aBYzs8RxZMuqyOanNlf8I
115,"Pull Up",Samey,2714,https://open.spotify.com/track/6K9YoqvqvNe4V3VijEnL0w
116,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",2711,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
117,"Potkal Jsem Tě Po Letech",Chinaski,2704,https://open.spotify.com/track/3wnSkikz2xzpf03UEDgTj9
118,STARGAZING,"Travis Scott",2703,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
119,"SLOW DANCING IN THE DARK",Joji,2690,https://open.spotify.com/track/0UyljEbX9dqI1K0sqdv6B6
120,Happier,"Ed Sheeran",2671,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
121,"Just Got Paid",Sigala,2646,https://open.spotify.com/track/0v3BMLcwUmAwyqJaf5997o
122,Crazy,"Gnarls Barkley",2621,https://open.spotify.com/track/1vxw6aYJls2oq3gW0DujAo
123,"Sick Boy","The Chainsmokers",2595,https://open.spotify.com/track/0Lc741JBJ6QVVXBOOofSiC
124,"Counting Stars",OneRepublic,2594,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
125,Demons,"Imagine Dragons",2586,https://open.spotify.com/track/3LlAyCYU26dvFZBDUIMb7a
126,Padam,"Ben Cristovao",2580,https://open.spotify.com/track/3WhPmndpgVLtnBF9tMEtgN
127,"All Falls Down","Alan Walker",2558,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
128,"Nice Guy (with Jessie Reyez)",Eminem,2542,https://open.spotify.com/track/09FfQO3PqHO4HIJL511Ksi
129,"Tie Me Down (with Elley Duhé)",Gryffin,2529,https://open.spotify.com/track/4QVS8YCpK71R4FsxSMCjhP
130,"River (feat. Ed Sheeran)",Eminem,2529,https://open.spotify.com/track/1cS0TgbR263ey9jn0MwD2s
131,"Perfect Week",Calin,2522,https://open.spotify.com/track/2iRdbpbnZTvJBBJWxmTJsm
132,"Wonderwall - Remastered",Oasis,2493,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
133,"Stressed Out","Twenty One Pilots",2471,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
134,"Don’t Matter To Me (with Michael Jackson)",Drake,2446,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
135,Motýli,Mandrage,2423,https://open.spotify.com/track/32DWJKw2RH44E50stKxDm4
136,Africa,Toto,2412,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
137,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",2401,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
138,"Kancelář - Official Remix",Ektor,2399,https://open.spotify.com/track/6Fc7mlF8R1I0yENYoZ201s
