,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,X,"Nicky Jam",14657,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
58,Amantes,Greeicy,14399,https://open.spotify.com/track/3IyPnNX142pvWx6D5CiimD
59,Invencible,ChocQuibTown,14007,https://open.spotify.com/track/7JnFZ24rWPKVxFZd1xw6dm
60,"I Love It (& Lil Pump)","Kanye West",13720,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
61,"El Embrujo",Morat,13169,https://open.spotify.com/track/6GM7WCa0accugI9b2JTeix
62,"Cuando Nadie Ve",Morat,12931,https://open.spotify.com/track/1Cxd4ZJJ9VOQQpNcpdcZEQ
63,"Say My Name","David Guetta",12874,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
64,"Simples Corazones",Fonseca,12813,https://open.spotify.com/track/6SVEw266UzbkAKfCLeBPGy
65,"Me Rehúso","Danny Ocean",12680,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
66,Casualidad,Nacho,12471,https://open.spotify.com/track/08rwXPBZ2DHOwnL7xaz044
67,"One Kiss (with Dua Lipa)","Calvin Harris",12400,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
68,"No Me Acuerdo",Thalía,12156,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
69,"Shape of You","Ed Sheeran",12075,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
70,"Bailar Contigo","Monsieur Periné",12023,https://open.spotify.com/track/4hi9OTFKomNUlAIhp1fmap
71,Brindemos,"Anuel Aa",11990,https://open.spotify.com/track/7LeQ55Z5jPBB0ggYJtAiYO
72,"Otra Vez (feat. J Balvin)","Zion & Lennox",11836,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
73,"Dura - Remix","Daddy Yankee",11790,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
74,"Tú Y Yo (feat. Nicky Jam & Justin Quiles)",Valentino,11693,https://open.spotify.com/track/58smOywZbVu8AjWutppiQA
75,IDGAF,"Dua Lipa",11683,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
76,Triste,"Bryant Myers",11355,https://open.spotify.com/track/5MNS5FF4LrTX0jIaI0gory
77,"Promises (with Sam Smith)","Calvin Harris",11104,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
78,Sensualidad,"Bad Bunny",10340,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
79,Criminal,"Natti Natasha",10286,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
80,"Una Lady Como Tú","Manuel Turizo",10273,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
81,Devuelveme,Ozuna,10157,https://open.spotify.com/track/5uvucCRBTkxv7VxIDLOqe7
82,"Caliente (feat. J Balvin)","De La Ghetto",10154,https://open.spotify.com/track/1d1mZ7F4VI0hkkie2jE4yq
83,"Ni Gucci Ni Prada","Kenny Man",10115,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ
84,Hola,"Zion & Lennox",10002,https://open.spotify.com/track/2dYJKHEqAUTCk2U9zntaS1
85,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",9916,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
86,"Vivo Pensando En Ti (feat. Maluma)","Felipe Peláez",9868,https://open.spotify.com/track/4DBnQKEkneEBbUXJVX5Kxs
87,"Electricity (with Dua Lipa)","Silk City",9750,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
88,"Se Preparó",Ozuna,9570,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
89,"Miss Lonely - Dimelo Flow Remix",Sech,9569,https://open.spotify.com/track/3tRtlS9YUyYqVgqO3iM4bW
