,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"1100 Cegonhas - Prod. Here's Jhonny",Dillaz,8013,https://open.spotify.com/track/2z8miBNCvH52PnK5vfeXm8
57,Fall,Eminem,7809,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
58,Medicina,Anitta,7731,https://open.spotify.com/track/4R5xvs5X0phd0EYWyGigju
59,"Pretty Little Fears (feat. J. Cole)",6LACK,7720,https://open.spotify.com/track/4at3d5QWnlibMVN75ECDrp
60,Flames,"David Guetta",7666,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
61,"Wake Up in the Sky","Gucci Mane",7664,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
62,"Body (feat. brando)","Loud Luxury",7545,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
63,"Salto Alto",Piruka,7514,https://open.spotify.com/track/3sIXzuNgN9HrC7amkEQWiP
64,Aleluia,"Wet Bed Gang",7495,https://open.spotify.com/track/3nOdmaNfqskNaYpBGPLDdG
65,"Vai malandra (feat. Tropkillaz & DJ Yuri Martins)",Anitta,7440,https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7
66,X,"Nicky Jam",7317,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
67,"Jocelyn Flores",XXXTENTACION,7218,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
68,"Vem na Vibe",Blaya,7137,https://open.spotify.com/track/3KpCU8HElDBWFm2KusPzB5
69,"Love Lies (with Normani)",Khalid,7075,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
70,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",7072,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
71,"Not Alike (feat. Royce Da 5'9)",Eminem,7049,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
72,"Thunderclouds with Sia, Diplo & Labrinth",Sia,6817,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
73,changes,XXXTENTACION,6711,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
74,"Ocean (feat. Khalid)","Martin Garrix",6615,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
75,"Ta Tum Tum","MC Kevinho",6605,https://open.spotify.com/track/6etab3UBCo5GOTMZqUvRka
76,FRIENDS,Marshmello,6556,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
77,"Burn Out (feat. Dewain Whitmore)","Martin Garrix",6447,https://open.spotify.com/track/7IWTIkiWGWNQyYfOLdMrGD
78,Greatest,Eminem,6299,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
79,Nonstop,Drake,6249,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
80,"Born To Be Yours",Kygo,6243,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
81,"rockstar (feat. 21 Savage)","Post Malone",6140,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
82,Downtown,Anitta,6134,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
83,"Quero Que Tu Vá",Ananda,6074,https://open.spotify.com/track/7ppLcVgxpoWAhAa2c0CN3b
84,STARGAZING,"Travis Scott",5961,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
85,"O Problema É Que Ela É Linda","David Carreira",5856,https://open.spotify.com/track/65aPEhYjS6AACi4sZM5rUy
86,"Não Tens Visto","Wet Bed Gang",5816,https://open.spotify.com/track/3WzINtpiKu6mwJu8ax7EdC
87,"Happy Now",Zedd,5781,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
88,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",5690,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
89,"Mariners Apartment Complex","Lana Del Rey",5685,https://open.spotify.com/track/4UAW2gObi5o6sJla0qZpPn
90,Maluco,Karetus,5682,https://open.spotify.com/track/6h6rII20UySFUHiM3RPi6p
91,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,5663,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
92,Kamikaze,Eminem,5652,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
93,"Eu Sei",Waze,5423,https://open.spotify.com/track/5YtsgM0gsDgBIHtJifBd1p
94,"no tears left to cry","Ariana Grande",5296,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
95,Thunder,"Imagine Dragons",5187,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
96,"Feels Like Summer","Childish Gambino",5129,https://open.spotify.com/track/7p4vHnYXkxlzvfePJVpcTr
97,Slowly,"Richie Campbell",5088,https://open.spotify.com/track/0jg1Oo5WVBBgF1bWspmD1v
98,Believer,"Imagine Dragons",5022,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
99,"Mo Boy",Dillaz,4977,https://open.spotify.com/track/0A3b3cu2JPBUTGC6qJEqUy
100,"Leave a Light On","Tom Walker",4966,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
101,"Look At Me!",XXXTENTACION,4961,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
102,"Self Care","Mac Miller",4944,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
103,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",4927,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
104,"Balenciaga Challenge (feat. Offset)",6LACK,4925,https://open.spotify.com/track/6Zisja44KqMZj4GM4UY6Yv
105,"Romance Com Safadeza","Wesley Safadão",4921,https://open.spotify.com/track/0RBOFW5424gCCCZrgECbt6
106,Unfair,6LACK,4869,https://open.spotify.com/track/3Q33RhbyoFul9LdKKjticI
107,"Water - Single Version","Richie Campbell",4860,https://open.spotify.com/track/58dElABzeDBwfhttWGf6n1
108,"Já Se Passou Tudo",Piruka,4787,https://open.spotify.com/track/2wvtEiHUoRmjrqRfOrY26B
109,"East Atlanta Love Letter (feat. Future)",6LACK,4753,https://open.spotify.com/track/6rJmWa5DvQ3Nby3tdcX2L0
110,"No Es Justo","J Balvin",4741,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
111,Fuleragem,"MC WM",4740,https://open.spotify.com/track/6tuzPD1zPPvwMbGiD0TBay
112,Paraíso,"Diogo Piçarra",4730,https://open.spotify.com/track/4sVLQiRPPYRQ3AcPcXJSLg
113,"A Fila Anda",Djodje,4705,https://open.spotify.com/track/0XIIRCazywV0esGSP1pVj5
114,"Nice For What",Drake,4693,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
115,"Loaded Gun",6LACK,4652,https://open.spotify.com/track/1wb7Mqon4o1ViLjaLV9f8U
116,"Psycho (feat. Ty Dolla $ign)","Post Malone",4614,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
117,"RAP DEVIL","Machine Gun Kelly",4586,https://open.spotify.com/track/63TyoT9Ee03rQxv8xmdJ2l
118,"Se Não Acordar Amanhã",Piruka,4563,https://open.spotify.com/track/4oWGtWd4deNrZZOopdmCwz
119,"High On Life (feat. Bonn)","Martin Garrix",4552,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
120,FMR,mishlawi,4543,https://open.spotify.com/track/5Dd8YD2T5AsOV9o8np2miQ
121,"Praise The Lord (Da Shine)","A$AP Rocky",4541,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
122,"Everybody Dies In Their Nightmares",XXXTENTACION,4533,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
123,Clandestino,Shakira,4524,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
124,"I Like Me Better",Lauv,4497,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
125,"Look Alive (feat. Drake)","BlocBoy JB",4478,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
126,Normal,Eminem,4470,https://open.spotify.com/track/0evt4UZbdhnHtcAnxkm6A1
127,"O Sol","Vitor Kley",4420,https://open.spotify.com/track/3IfctMaf2sfvlSLRa42Cna
128,Nonchalant,6LACK,4417,https://open.spotify.com/track/7c3K8ifIoaVZ2MSUuGo0Co
129,"Mala Mía",Maluma,4406,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
130,Switch,6LACK,4357,https://open.spotify.com/track/29ZZAShKhwRUuKULSNtxX6
131,"Ao Vivo E A Cores","Matheus & Kauan",4327,https://open.spotify.com/track/2Ab1wPTEqulaCGoBak1gUo
132,REMEDY,Alesso,4272,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
133,"Me Solta","Nego do Borel",4221,https://open.spotify.com/track/5nqehpNGoRAz4wUFK3wT9k
134,"Let Her Go",6LACK,4207,https://open.spotify.com/track/0CIGZEXjZ8L52lOrqUljJt
135,"Stepping Stone",Eminem,4206,https://open.spotify.com/track/60Z57Wdrn0pEVpHI7d7GAX
136,"Whatever It Takes","Imagine Dragons",4151,https://open.spotify.com/track/6Qn5zhYkTa37e91HC1D7lb
137,"I'm a Mess","Bebe Rexha",4126,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
138,"Má Vida",Blaya,4094,https://open.spotify.com/track/57lZ2KHPunVNYfcfE7bOxg
139,"Só Quer Vrau","MC MM",4066,https://open.spotify.com/track/68uKHxQzoY6gd7YSKJf21J
140,"Voar (Gson)","Wet Bed Gang",4064,https://open.spotify.com/track/4VSQjXeWif1YluDDhY0eOY
141,"New Rules","Dua Lipa",4050,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
142,"Shape of You","Ed Sheeran",4036,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
143,"XO TOUR Llif3","Lil Uzi Vert",4031,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
144,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",4025,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
145,Sorry,6LACK,3995,https://open.spotify.com/track/2xRyZfWe9bnRfH1ZfhYO98
146,"Os Meus Putos",Piruka,3961,https://open.spotify.com/track/2UvBjoDN0Btlvno0iBn7zH
147,OTW,Khalid,3960,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
148,3AM,Plutónio,3938,https://open.spotify.com/track/4bmNeSf4fHwBOTr0rSQGUE
149,IDGAF,"Dua Lipa",3899,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
150,"In My Blood","Shawn Mendes",3876,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH
151,"lovely (with Khalid)","Billie Eilish",3866,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
152,"A Vida Toda","Carolina Deslandes",3853,https://open.spotify.com/track/6phApqHjoCegpevdCSh331
153,"The Middle",Zedd,3846,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
154,"Problema Seu","Pabllo Vittar",3842,https://open.spotify.com/track/0sMgOV0KurBXvZ4G5AJj4X
155,SWISH,Tyga,3836,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
156,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,3829,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
157,Oquelávai,D.A.M.A.,3819,https://open.spotify.com/track/7HBb0h45HuqUIBmVqN3s92
158,Disconnect,6LACK,3788,https://open.spotify.com/track/5dgkSJAuFXZnwz7OAFUnIk
159,"Four Out Of Five - Recorded at Electric Lady Studios, New York","Arctic Monkeys",3786,https://open.spotify.com/track/4ya6kBUnCe27g0hZM57L1n
160,"We Can Do Better","Matt Simons",3779,https://open.spotify.com/track/1hLjLWrzO18acdCFcccFWk
161,"Venom - Music From The Motion Picture",Eminem,3739,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
162,"Échame La Culpa","Luis Fonsi",3724,https://open.spotify.com/track/2hl6q70unbviGo3g1R7uFx
163,"A Nossa Vez",Calema,3681,https://open.spotify.com/track/5WB70PqZqozarhWv1LCuvL
164,goosebumps,"Travis Scott",3677,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
165,Havana,"Camila Cabello",3667,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
166,Mine,Bazzi,3662,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
167,"Side Effects","The Chainsmokers",3608,https://open.spotify.com/track/3OtQmFLS5b3pTgIf44GQFJ
168,"Só Você","Dennis DJ",3579,https://open.spotify.com/track/4xc6RrWzEOdprPqYn9Cyen
