,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"I Love It (& Lil Pump)","Kanye West",28318,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
57,"Lucky You (feat. Joyner Lucas)",Eminem,28300,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
58,"Seberapa Pantas","Sheila On 7",28238,https://open.spotify.com/track/1BaGfrlIWinaF77p7QASBH
59,"Manusia Bodoh","Ada Band",28173,https://open.spotify.com/track/408TyH9YoTkH9J0Da9Ue8C
60,"Dance Tonight - Asian Games 2018 Official Song","Bunga Citra Lestari",28057,https://open.spotify.com/track/3LvqyAObZSOjkmG0gVgtao
61,"All Falls Down","Alan Walker",27626,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
62,Untitled,"Maliq & d'Essentials",27447,https://open.spotify.com/track/1i9iliTpiPLizleapSg37I
63,"God is a woman","Ariana Grande",27051,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
64,Rumpang,"Nadin Amizah",27042,https://open.spotify.com/track/2TRGNVokPnC2a2oHg5iv1H
65,"Indah Pada Waktunya","Rizky Febian",26623,https://open.spotify.com/track/6QYEVNkfirdsMmC5d9HJtR
66,"Cinta Dan Rahasia","Yura Yunita",26519,https://open.spotify.com/track/4HXUMRdT6s6Am6YHcWmuib
67,You,"Ten 2 Five",26446,https://open.spotify.com/track/4ilwLEDlMXGEVmMAAEJavA
68,"Ocean (feat. Khalid)","Martin Garrix",26438,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
69,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",25760,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
70,"Something Just Like This","The Chainsmokers",25601,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
71,"Cukup Tau","Rizky Febian",25216,https://open.spotify.com/track/23V8GLR7IHBzc4ipiT5Zl2
72,"Power Up","Red Velvet",25149,https://open.spotify.com/track/381g0b6QZxC13SzA2HRMIc
73,IDGAF,"Dua Lipa",25059,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
74,Pelangi,Hivi!,24753,https://open.spotify.com/track/5BgZ1bi8xeWVxmg12RfWzv
75,"The Middle",Zedd,24727,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
76,"Too Good At Goodbyes","Sam Smith",24652,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
77,"Aku Tenang",Fourtwnty,24613,https://open.spotify.com/track/671zYm5ZtN7bHaDOwY3Kxy
78,IDOL,BTS,24382,https://open.spotify.com/track/2AIWoHr9DF6y4KALCBKWQS
79,"As If It's Your Last",BLACKPINK,24006,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
80,"Dekat Di Hati",RAN,23912,https://open.spotify.com/track/0owU9W5gPsJEcwAmMjzomy
81,"Shape of You","Ed Sheeran",23708,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
82,"FAKE LOVE",BTS,23433,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
83,Superhero,Lauv,22848,https://open.spotify.com/track/1Fo4OvzP9PThFKMeMIAEYu
84,"Lucid Dreams","Juice WRLD",22846,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
85,Bitterlove,"Ardhito Pramono",22700,https://open.spotify.com/track/74OLXYsvpfmSgPCMMi898K
86,"One Kiss (with Dua Lipa)","Calvin Harris",22529,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
87,Location,Khalid,22265,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
88,"Lagu Untukmu",Raisa,22160,https://open.spotify.com/track/5WrYlDbqmrGqmcwvJNpgm4
89,Heaven,Afgan,22152,https://open.spotify.com/track/3gBFAvpAVSNohs3ESRMYHi
90,"New Rules","Dua Lipa",22144,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
91,"Kenangan Terindah",SAMSONS,22106,https://open.spotify.com/track/5TtmfZaNSYEcTR49cureT0
92,"no tears left to cry","Ariana Grande",22021,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
93,"Symphony (feat. Zara Larsson)","Clean Bandit",21907,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
94,History,88rising,21802,https://open.spotify.com/track/4TwVtW8hS5LyLoDtJGpUOg
95,"Say You Won't Let Go","James Arthur",21792,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
96,Natural,"Imagine Dragons",21657,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
97,"We Young",CHANYEOL,21577,https://open.spotify.com/track/0eilxZjVwGfcgzzDEbcFJP
98,Closer,"The Chainsmokers",21556,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
99,Kasmaran,Jaz,21499,https://open.spotify.com/track/6rB2whUL8s2Kt3wIxsnCGf
100,Sunflower,"Rex Orange County",21109,https://open.spotify.com/track/4EpZ4eYuZOwPSSwyqpdHnJ
101,"Takkan Terganti",Marcell,20383,https://open.spotify.com/track/0T4t1PywlNmJGcveGH5spB
