,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"SICKO MODE","Travis Scott",9688,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
57,Happier,"Ed Sheeran",9673,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
58,"I Like Me Better",Lauv,9619,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
59,"Only You (with Little Mix)","Cheat Codes",9587,https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
60,"Lucid Dreams","Juice WRLD",9519,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
61,"LOVE SCENARIO",iKON,9499,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k
62,Perfect,"Ed Sheeran",9487,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
63,"HANN (Alone)",(G)I-DLE,9319,https://open.spotify.com/track/7gr57cYekMWriyJYbT7oZ4
64,Haram,"Hael Husaini",9280,https://open.spotify.com/track/17nHCQoKBNJRsiddmX7h5R
65,Fall,Eminem,9270,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
66,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",9261,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
67,"FOREVER YOUNG - KR Ver.",BLACKPINK,9071,https://open.spotify.com/track/57Enap29zKl7NGRdDJjkjA
68,"Thick And Thin",LANY,9070,https://open.spotify.com/track/7qIICzwgm3eu1Ic3ufPGJf
69,SAD!,XXXTENTACION,8694,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
70,"Say You Won't Let Go","James Arthur",8633,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
71,changes,XXXTENTACION,8595,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
72,Havana,"Camila Cabello",8552,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
73,"New Light","John Mayer",8450,https://open.spotify.com/track/40FLJc17FMZaPmCQEEZgB0
74,"Sincerity Is Scary","The 1975",8408,https://open.spotify.com/track/06Vthiq8nNDuT5nOcch535
75,"I'm Yours","Jason Mraz",8384,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
76,"Too Good At Goodbyes","Sam Smith",8321,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
77,Mine,Bazzi,8156,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
78,"Rahsia Kita","Khai Bahar",8135,https://open.spotify.com/track/4EhOkMDbA0ypzp5xbZjknt
79,"Can’t Help Falling in Love","Kina Grannis",8084,https://open.spotify.com/track/7uuEfUMuPeQ7RlSWa0cES2
80,Photograph,"Ed Sheeran",8039,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
81,"You Are The Reason - Duet Version","Calum Scott",7988,https://open.spotify.com/track/2RKbu8lkD0IifqLRfpEQUR
82,"Want To","Dua Lipa",7920,https://open.spotify.com/track/0CBFOvHlyqy30Q5tbyNHfQ
83,"Not Alike (feat. Royce Da 5'9)",Eminem,7891,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
84,"High On Life (feat. Bonn)","Martin Garrix",7890,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
85,"Midsummer Madness",88rising,7858,https://open.spotify.com/track/6TodWdTSDfzwgYynTZSvJn
86,Euphoria,BTS,7774,https://open.spotify.com/track/3p6hnejEQYXkiTO1lAzVc0
87,"The Middle",Zedd,7637,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
88,"Shape of You","Ed Sheeran",7579,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
89,"Luar Biasa (feat. Alif)","Ismail Izzani",7545,https://open.spotify.com/track/6fbAh4zHaOmMovx2GE94Wb
