,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,87933,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
54,Calypso,"Luis Fonsi",87261,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
55,SAD!,XXXTENTACION,83455,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
56,Youngblood,"5 Seconds of Summer",81893,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
57,Simba,Ernia,81369,https://open.spotify.com/track/69d3X2Nv5AWHUeTktfOqpV
58,"Bro (feat. Tedua)",Ernia,79693,https://open.spotify.com/track/0muEgLSADRCBEIBzoivkqS
59,"Torna Da Me",Luche,79623,https://open.spotify.com/track/5iSHLCuc0K3pUW16b7sSP4
60,"Hands Up (feat. DNCE)","Merk & Kremont",78687,https://open.spotify.com/track/0nlyO7lNTOYB0gjDp7NI7H
61,"We Can Do Better","Matt Simons",77471,https://open.spotify.com/track/1hLjLWrzO18acdCFcccFWk
62,Vertigini,Tedua,77245,https://open.spotify.com/track/1Oou7m2VuxCDSOdqsu07TU
63,"La Cintura","Alvaro Soler",75766,https://open.spotify.com/track/355kY0VYYf2AUOnUsU56Xq
64,"My Life Is Going On (Burak Yeter Remix)","Burak Yeter",75579,https://open.spotify.com/track/2qzyXvxqBlOx4BUzbTzPvu
65,"Promises (with Sam Smith)","Calvin Harris",74686,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
66,"Keanu Reeves (feat. Achille Lauro)",Gemitaiz,74560,https://open.spotify.com/track/1MGXWglFoINJdrcp2W0U0w
67,"Cupido (feat. Quavo)","Sfera Ebbasta",73917,https://open.spotify.com/track/0dLToDou8YHYJpQltj3Ijy
68,"La stessa","Alessandra Amoroso",70563,https://open.spotify.com/track/0x7pHyBX8Ph2j4knBp1he9
69,"La musica non c'è",Coez,69898,https://open.spotify.com/track/7MMJa7cjMadOSR6CFWvB1x
70,"Solo Te E Me (feat. Giulia Jean)",GionnyScandal,69665,https://open.spotify.com/track/7zPr2eaVerEShHQ36BHQTD
71,X,"Nicky Jam",68786,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
72,"Il ballo delle incertezze",Ultimo,68243,https://open.spotify.com/track/0Wq6iAraiUpSbBSPmv4gLu
73,Flames,"David Guetta",68084,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
74,"Eastside (with Halsey & Khalid)","benny blanco",67129,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
75,Rise,"Jonas Blue",66531,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
76,"Questa nostra stupida canzone d'amore",Thegiornalisti,66070,https://open.spotify.com/track/2LYt5nf0m90Bz8fuudLQd1
77,"Me Niego",Reik,65783,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
78,British,"Dark Polo Gang",65632,https://open.spotify.com/track/3eIRxkHV1xKsSJ8WWFfGjE
79,Pianeti,Ultimo,65089,https://open.spotify.com/track/2w5wtWq30yTkNSG9YjMFvW
80,"Solletico (feat. Tedua & The Night Skinny)",Rkomi,64344,https://open.spotify.com/track/6gan8nbS78t2sUy0M9UpAX
81,"Ricchi x Sempre","Sfera Ebbasta",63938,https://open.spotify.com/track/0kHTkvGavvk2MjBTSUtOZx
82,"New York",Thegiornalisti,63888,https://open.spotify.com/track/62JaE4DaiODjNO7ZKXDFqD
83,"Non Abbiamo Età",Luche,60623,https://open.spotify.com/track/0NwuXciw6eQc4edjwSBnV3
84,"Pem Pem","Elettra Lamborghini",60216,https://open.spotify.com/track/1xYiaH50bbhvYXLQMmbjpY
85,"Purple Rain","Achille Lauro",58365,https://open.spotify.com/track/0PpB4YTfszDRmQxLirA4pM
86,"Sciroppo (feat. DrefGold)","Sfera Ebbasta",57348,https://open.spotify.com/track/4VVG3HBGaqSNZqIpmewIA6
87,Bandita,"Jake La Furia",56511,https://open.spotify.com/track/1AxEMGsutOIbDzZnvj0yaj
88,"Better Now","Post Malone",56458,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
89,"Start Again (with Vegas Jones)",OneRepublic,56328,https://open.spotify.com/track/5kITqlHH4ZJXWbczDmvWQB
90,"El Party","Jake La Furia",54906,https://open.spotify.com/track/19LRRuiMQ8a9jhqSf8jVip
91,"Sin Pijama","Becky G",54877,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
92,Happier,Marshmello,54750,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
93,"The Ringer",Eminem,54412,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
94,Melody,"Lost Frequencies",54382,https://open.spotify.com/track/5r49JKf2vWBF0CQjZewJ0O
95,Moonlight,XXXTENTACION,54303,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
96,"Thoiry Remix (Samba Trap Vol. 3 - Mitraglia Rec)","Achille Lauro",54005,https://open.spotify.com/track/2l9XbXBbKoEfc1JdCvSz4n
97,Crazy,"Lost Frequencies",53717,https://open.spotify.com/track/2hqy4QmpvMeVz6zeolDeLQ
98,BEBE,6ix9ine,53196,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
99,Paracetamolo,"Calcutta ",52937,https://open.spotify.com/track/4OQ1G3dyVx0SPUzBiWCNat
