,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,"Consejo de Amor",TINI,3160,https://open.spotify.com/track/1zHQ5gjJoNxT4RYFmGEWuo
58,Bufón,"Lit Killah",2977,https://open.spotify.com/track/6ovp1nCwIAOSMotiCF7pjk
59,X,"Nicky Jam",2974,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
60,"No Hay Nadie Más","Sebastian Yatra",2947,https://open.spotify.com/track/3IPJg1sdqLj12kFIndaonN
61,Calypso,"Luis Fonsi",2930,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
62,"Epa Wei","Danny Ocean",2880,https://open.spotify.com/track/2QmsKag0YaqhAbpR9Nwmpn
63,"Hijo De La Noche",Duki,2799,https://open.spotify.com/track/2p1AlnJxp15v7ohNuLwjbl
64,"Mi Cama","Karol G",2784,https://open.spotify.com/track/7sFYVcKSb24qg0dAkqLEFj
65,Perdóname,FMK,2760,https://open.spotify.com/track/4Uy3Q3h0VbWWyyiB1MmRoP
66,Hola,"Zion & Lennox",2760,https://open.spotify.com/track/2dYJKHEqAUTCk2U9zntaS1
67,"Loca Remix",Khea,2759,https://open.spotify.com/track/2CRbiMK0W14l71SpDKqKZM
68,"Síguelo Bailando",Ozuna,2757,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
69,"I Love It (& Lil Pump)","Kanye West",2732,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
70,Ferrari,Duki,2698,https://open.spotify.com/track/1YIqazOPARc41ThBqS7a8F
71,"La Cintura (feat. Flo Rida & TINI) - Remix","Alvaro Soler",2672,https://open.spotify.com/track/56gH0zGe3SP9SGNoQ2pWwn
72,Brindemos,"Anuel Aa",2631,https://open.spotify.com/track/7LeQ55Z5jPBB0ggYJtAiYO
73,Criminal,"Natti Natasha",2627,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
74,"¿Cual es tu plan?","Bad Bunny",2606,https://open.spotify.com/track/4HRDBtek0ayfLQ6uc7rjO9
75,"A Partir De Hoy","David Bisbal",2598,https://open.spotify.com/track/7ojH6H4wE6XJNgzU4uvNc8
76,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",2549,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
77,"Ahora no",FMK,2508,https://open.spotify.com/track/1fxwD70zSHgakPFIAC0pz7
78,"Ella Fuma","Plan B",2502,https://open.spotify.com/track/4IYxcqhcFFJ025qfWJeulF
79,"Como Le Digo",Khea,2496,https://open.spotify.com/track/2fxJDRmUMatqyZ6ZOQi7RD
80,Triste,"Bryant Myers",2486,https://open.spotify.com/track/5MNS5FF4LrTX0jIaI0gory
81,"Besos En Guerra",Morat,2483,https://open.spotify.com/track/5KgdtjmglXPjJNKvMvSjgo
82,"She Don't Give a Fo",Duki,2466,https://open.spotify.com/track/6S3yaMAF7jB4GfjXdYLsD0
83,"Shape of You","Ed Sheeran",2464,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
84,"Vete de mi vida",#TocoParaVos,2397,https://open.spotify.com/track/3OvS8okuqMz2ejTfhSHfZV
85,"One Kiss (with Dua Lipa)","Calvin Harris",2384,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
86,PURPURA,WOS,2368,https://open.spotify.com/track/0RHazYjaRGLIYPvn6mtRWY
87,"No Te Creas Tan Importante - En Vivo","Damas Gratis",2325,https://open.spotify.com/track/3trowLiYwwOoiwapLISNyk
88,Dembow,"Danny Ocean",2312,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
89,Ibiza,Ozuna,2299,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp
90,"Electricity (with Dua Lipa)","Silk City",2267,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
91,"Me Rehúso","Danny Ocean",2240,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
92,Ponle,Rvssian,2212,https://open.spotify.com/track/28O1p0bQXH2F6Qn8jBZZR4
93,"Mi Mala - Remix","Mau y Ricky",2133,https://open.spotify.com/track/6kOHug1s9Nd5gsHrX8irs2
94,Vete,Khea,2110,https://open.spotify.com/track/2rZB6indPhp8C5AZK1PpkS
95,"Promises (with Sam Smith)","Calvin Harris",2105,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
96,Solita,Ozuna,2086,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
97,"Se Preparó",Ozuna,2085,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
98,Usted,"Juan Magán",2066,https://open.spotify.com/track/79HTe42PihWUUq4BDjcuCq
99,Piso,Bhavi,2064,https://open.spotify.com/track/3Zkla0QqHsCTY1pWhY63GS
100,Downtown,Anitta,2036,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
101,Sirena,"Cali Y El Dandee",2030,https://open.spotify.com/track/1juHIWqgFiDFAKuEBP24Lt
102,"Si Te Sentis Sola",Duki,1993,https://open.spotify.com/track/2Z4VK9otSeq3MxWcEgptUa
103,"Lucky You (feat. Joyner Lucas)",Eminem,1990,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
104,"La Vida Sin Ti","Piso 21",1969,https://open.spotify.com/track/1RvL7eHoeUolnQbWm2Hnba
105,"Se Vuelve Loca",CNCO,1963,https://open.spotify.com/track/2PYmyMAMlhX1eVevLo5A6n
106,"Calypso - Remix","Luis Fonsi",1961,https://open.spotify.com/track/3B1q4Cv9PcYdiOpzqKSEIV
107,Ilegales,"Valeria Gau",1949,https://open.spotify.com/track/2XXpbBf2jeiqRpuuVzQGzA
108,"Solo (feat. Demi Lovato)","Clean Bandit",1945,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
109,Culpables,"Karol G",1940,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
110,"Robarte un Beso","Carlos Vives",1925,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k
111,Esperándote,"Manuel Turizo",1922,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj
112,Peligrosa,"J Balvin",1867,https://open.spotify.com/track/3Nkqp3NSGWMXVVO08zGpN7
113,"God is a woman","Ariana Grande",1863,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
114,S.A.D,Khea,1847,https://open.spotify.com/track/46D8MyZ8htLBj7BjblMyeX
115,"In My Mind",Dynoro,1844,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
116,"New Rules","Dua Lipa",1843,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
117,"No Brainer","DJ Khaled",1829,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
118,"Puedo Ser",Cazzu,1817,https://open.spotify.com/track/5olxoiU59KJZTbqyzki5TW
119,Perfect,"Ed Sheeran",1813,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
120,Corazón,Maluma,1810,https://open.spotify.com/track/5cepAtqnEQ6yVG6088zMMu
121,"Suena El Dembow","Joey Montana",1789,https://open.spotify.com/track/0woHVOh3KXLSDv8VU9XwZ4
122,Sensualidad,"Bad Bunny",1788,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
123,"Échame La Culpa","Luis Fonsi",1777,https://open.spotify.com/track/2hl6q70unbviGo3g1R7uFx
124,"Como Soy","Pacho El Antifeka",1764,https://open.spotify.com/track/7jIfxFhZSmH3LGud6D5m2w
125,"Nunca quise",Intoxicados,1745,https://open.spotify.com/track/0ZAJ660VP57lLK4U7NlGOy
126,Creo,Callejeros,1738,https://open.spotify.com/track/5Bi9Cq5oVFy1OtUgecbegZ
127,Dura,"Daddy Yankee",1697,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
128,Mayores,"Becky G",1697,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
129,"Qué Tienes Tú",Dvicio,1693,https://open.spotify.com/track/4txQPJDlvU72lC6EMhT7m9
130,Dicen,"Matt Hunter",1686,https://open.spotify.com/track/4cfoVJxpHqUqTvBrG1RTyi
131,"A las Nueve","No Te Va Gustar",1679,https://open.spotify.com/track/0uuEqOyKlABOB7hzWKcEeG
132,"Puro Fuego","La Sandonga",1671,https://open.spotify.com/track/21PbueCWlTsrzT2x1LT2N9
133,Bella,Wolfine,1669,https://open.spotify.com/track/3xcCix7Jv1Rp90YVmgo35D
134,"El Tra","Marcos da costa",1668,https://open.spotify.com/track/7LRj5hGcfebJTd1Grnrohw
135,"Otra Vez (feat. J Balvin)","Zion & Lennox",1651,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
136,Happier,Marshmello,1647,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
137,Maldición,"Once Tiros",1636,https://open.spotify.com/track/34BMzIFvpIgacpqUvuNpOT
138,breathin,"Ariana Grande",1633,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
139,Natural,"Imagine Dragons",1631,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
140,"Piel a Piel","Dame 5",1631,https://open.spotify.com/track/2q3B7GLCEA4uYvuo2g5P82
141,Bailoteame,"Agustín Casanova",1630,https://open.spotify.com/track/1cAp3wDxs36KqES02TU2EZ
142,"Un Poquito","Diego Torres",1628,https://open.spotify.com/track/5pH8g37XIkQej0AnlfQgNS
143,Believer,"Imagine Dragons",1622,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
144,Marinero,Maluma,1616,https://open.spotify.com/track/6x5LBP3nYXVdIDoomChGr3
145,Bipolar,"Chris Jeday",1614,https://open.spotify.com/track/4WzsycqZkpkS48H9AAAGux
146,"Quavo #Mododiablo",Duki,1608,https://open.spotify.com/track/7HLHYxRkEAWr90BGYxk15F
147,"Punto Y Aparte",Morat,1605,https://open.spotify.com/track/6RiV6DnCbfc0b2KbNvumdP
148,"Háblale y Dile","Chacho Ramos",1605,https://open.spotify.com/track/2vxnxwZMOEoCHksfUApiXe
149,"Mi Cubana Remix","Eladio Carrion",1588,https://open.spotify.com/track/0Th8lfTKVv32mZgXtGOxcd
150,"Ando Buscando","Agustín Casanova",1583,https://open.spotify.com/track/24k4QxSAavX21LJbKnKhJI
151,"Escápate Conmigo (feat. Ozuna)",Wisin,1583,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc
152,TELÉFONO,Aitana,1583,https://open.spotify.com/track/5h8VHxOBK1VWWj46T8fSly
153,"Cómo Te Atreves",Morat,1581,https://open.spotify.com/track/7M6CFruBrM5x7u0lTMtm6r
154,IDGAF,"Dua Lipa",1569,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
155,"Quisiera Alejarme (feat. Ozuna & CNCO) - Remix",Wisin,1555,https://open.spotify.com/track/4khRdk0vpLBWzGu41Fd7Rl
156,"Condenado Para el Millon","Paulo Londra",1548,https://open.spotify.com/track/5UjhWsB5rddZEPlNUcGDLV
157,"Eastside (with Halsey & Khalid)","benny blanco",1544,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
158,"No Llora","El Cuarteto De Nos",1534,https://open.spotify.com/track/1kEoU9Dmivr2JoOf7ramyT
159,"Apaga el celular","Lit Killah",1533,https://open.spotify.com/track/7BhCvFVZwe04hLpNutqTdg
160,"Una Nueva Noche Fría",Callejeros,1531,https://open.spotify.com/track/39KmBOGkD1ztCbVeo2uspA
161,"Say My Name","David Guetta",1529,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
162,Amorfoda,"Bad Bunny",1528,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF
163,Besame,Bhavi,1525,https://open.spotify.com/track/656wIOnR8PkaTASJAjd1pH
164,"Bajito No","Los Negroni",1521,https://open.spotify.com/track/2NbMHtHIp8jH4oglpEx0Jc
165,"La Correcta",Nabález,1518,https://open.spotify.com/track/1ISamB2lPDAeKb4Js2hLgq
166,Havana,"Camila Cabello",1516,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
167,"Quien Sabe","Natti Natasha",1516,https://open.spotify.com/track/5ZkPBld8QqfUkS6aJG40yj
168,Ahora,"J Balvin",1509,https://open.spotify.com/track/2yBWnRKj0Zx7AF1kufajvW
169,Rompe,Papichamp,1493,https://open.spotify.com/track/6ewMpZ67VVndT6RiQfhjPp
170,"Negarlo Todo","La Sandonga",1492,https://open.spotify.com/track/1vk0WyBcrrc35EsDcwAMV6
171,"I'm Yours","Jason Mraz",1488,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
172,"no tears left to cry","Ariana Grande",1483,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
173,"No Quiero Más - Remix","Luck Ra",1479,https://open.spotify.com/track/4gdZVkGqbi4Xxq2uuUpfjo
174,SAD!,XXXTENTACION,1478,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
175,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,1475,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
176,"Lo Malo - Remix",Aitana,1463,https://open.spotify.com/track/7vHzOI0lrq6dXsHuQWpBpT
177,Princesa,TINI,1458,https://open.spotify.com/track/6JpjnU0v7J3r7iHcWxLo6P
178,Madrugada,"La Beriso",1443,https://open.spotify.com/track/4SGCn3ZVXa7bepHuAdQvC9
179,Zafar,"La Vela Puerca",1437,https://open.spotify.com/track/1wIUWGdTdhVk5gIPd0ULxX
180,"Arde la Ciudad","Mancha De Rolando",1432,https://open.spotify.com/track/3SyKG06yOK3omo29EwZ8dP
181,"Que Va","Alex Sensation",1424,https://open.spotify.com/track/6J1R5wtPXiHiwiPstOSI56
182,"Campanas en la Noche","Los Tipitos",1421,https://open.spotify.com/track/0C9V5jMElp7laZZdsCHufD
183,"Hace Tiempo","Eladio Carrion",1416,https://open.spotify.com/track/2hZmq3hMh3KAAwqJbUkQHo
184,"José Sabía","La Vela Puerca",1415,https://open.spotify.com/track/3xeaXIjG0RONgwXA3G5nH3
185,M.I.A,Khea,1403,https://open.spotify.com/track/5eBAi26nr0KPcO3ko2hvLN
186,"Que Rico Baila",Rombai,1400,https://open.spotify.com/track/5QTWB74jDroxV6DvMqV533
187,"Amor Con Hielo",Morat,1400,https://open.spotify.com/track/105pLwtYErO64sPyXsPPAP
188,"La Nube","La Vela Puerca",1399,https://open.spotify.com/track/24wPPChGadZJtl0cz0bU8f
189,"Verte Reír","No Te Va Gustar",1395,https://open.spotify.com/track/6StWP4Tvs8Ci6QOCIDefYk
190,"Thinking Out Loud","Ed Sheeran",1395,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
191,Rockstar,Duki,1391,https://open.spotify.com/track/5DQGkXXLiOhf5cKqIyWh5L
192,"Be Alright","Dean Lewis",1390,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
193,"Tan Lejos","No Te Va Gustar",1389,https://open.spotify.com/track/7D5yebasDybJ83PTpwQNfx
194,"Si Te Lastime","Seven Kayne",1387,https://open.spotify.com/track/7k09lnI8FXcEREvDps6oPJ
195,Original,Arcangel,1379,https://open.spotify.com/track/1LBlcCtOrKITXpEp1hnNpj
196,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",1369,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
197,"El Farsante - Remix",Ozuna,1366,https://open.spotify.com/track/7uYgVgRSgqluZclLS7wpp4
198,"RedTube - Remix","Sander Wazz",1359,https://open.spotify.com/track/4NGaYfTswHYjLVps8AAfTX
199,Momentos,"Bryant Myers",1352,https://open.spotify.com/track/0FBMicpwUXmtUFP1M7RGfV
200,"Fvck Luv",Duki,1344,https://open.spotify.com/track/04EMkFMFkTaxWciZvxjkVT
