,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,Youngblood,"5 Seconds of Summer",6742,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
56,"魚仔 - 電視劇<花甲男孩轉大人>主題曲","Crowd Lu",6718,https://open.spotify.com/track/2sb6AZQLeoD3VgA4zglQB6
57,"God is a woman","Ariana Grande",6696,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
58,貧窮或富有,"Ronghao Li",6536,https://open.spotify.com/track/6zuaVMgTLGlCIVMCKKkx23
59,"Lucky Strike","Troye Sivan",6451,https://open.spotify.com/track/5mTJcvxRxq3uF5wUjjciDw
60,IDOL,BTS,6387,https://open.spotify.com/track/2AIWoHr9DF6y4KALCBKWQS
61,"SICKO MODE","Travis Scott",6366,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
62,"Be Somebody","Steve Aoki",6360,https://open.spotify.com/track/17bkwgLoC3N53jSksfllYX
63,飄向北方,Namewee,6178,https://open.spotify.com/track/5mS0BGxAAebA3amJg6LkVk
64,"Sincerity Is Scary","The 1975",6123,https://open.spotify.com/track/06Vthiq8nNDuT5nOcch535
65,"Just Got Paid",Sigala,6122,https://open.spotify.com/track/0v3BMLcwUmAwyqJaf5997o
66,"Wake Up in the Sky","Gucci Mane",6002,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
67,全是愛,"Jam Hsiao",5976,https://open.spotify.com/track/2NrllzhpAiN5FTKBGxYy35
68,"Born To Be Yours",Kygo,5861,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
69,"I Am The Man",NICKTHEREAL,5806,https://open.spotify.com/track/5D7Qrss3IGunqdzSyxptam
70,REMEDY,Alesso,5665,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
71,"Trivia 轉 : Seesaw",BTS,5664,https://open.spotify.com/track/1ZPpGPko8oULTmi34rozMh
72,Euphoria,BTS,5620,https://open.spotify.com/track/3p6hnejEQYXkiTO1lAzVc0
73,青春住了誰,"Rainie Yang",5595,https://open.spotify.com/track/0JddqUycMUJv6IoOzwUCVG
74,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",5576,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
75,"no tears left to cry","Ariana Grande",5555,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
76,偷不走的現在,"Kelly Yu",5499,https://open.spotify.com/track/0VswcL4fOgnSyFqcXxNxtw
77,戒菸,"Ronghao Li",5492,https://open.spotify.com/track/65KjitGykI5QIcsYrNhPZR
78,"Shape of You","Ed Sheeran",5491,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
79,讓我為你唱情歌,"Jam Hsiao",5486,https://open.spotify.com/track/0BuTVSIbiQGdxW7njjKng7
80,半句再見,"Stefanie Sun",5443,https://open.spotify.com/track/2GbrvTwp37fiJ8JSMGg3Tl
81,另一個童話,G.E.M.,5382,https://open.spotify.com/track/0b1IRPEXMukKXa4FdpbiGJ
82,說散就散,"JC 陳泳彤",5381,https://open.spotify.com/track/3CE1HoJJ0FVKo7JHsWIuvC
83,"Tie Me Down (with Elley Duhé)",Gryffin,5296,https://open.spotify.com/track/4QVS8YCpK71R4FsxSMCjhP
