,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,breathin,"Ariana Grande",11828,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
58,"Ramenez la coupe à la maison",Vegedream,11675,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
59,"Thunderclouds with Sia, Diplo & Labrinth",Sia,11348,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
60,2002,Anne-Marie,11036,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
61,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",10925,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
62,STARGAZING,"Travis Scott",10848,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
63,"Nike Pullover",Azet,10831,https://open.spotify.com/track/4rAN7PfOWxyR9MAeUd7wLy
64,Neymar,"Capital Bra",10805,https://open.spotify.com/track/7ecGSqT8Ulbzhs5QwgWGVN
65,"Beautiful (feat. Camila Cabello)",Bazzi,10604,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
66,"Electricity (with Dua Lipa)","Silk City",10469,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
67,"High Hopes","Panic! At The Disco",10408,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
68,Mercedes,Eno,10343,https://open.spotify.com/track/0VNlBq4JKqvlIlveSwC4WJ
69,Darkside,"Alan Walker",10338,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
70,"Happy Now",Zedd,10325,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
71,"One Night Stand","Capital Bra",10295,https://open.spotify.com/track/3AXtDUSO78KrGa9Rq8rWUS
72,Casanova,"Summer Cem",10273,https://open.spotify.com/track/0jB0RNZIfaihaDKNmdrI40
73,Kamikaze,Eminem,10166,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
74,Safe,"Nico Santos",10163,https://open.spotify.com/track/5B7AL4ZcRVNsUzR8WUVxmT
75,Nonstop,Drake,10128,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
76,"Air Max",Rim'K,10034,https://open.spotify.com/track/2XESFfYekQ0mRau2GXjT3E
77,Unterwegs,"AK Ausserkontrolle",9949,https://open.spotify.com/track/7k6sTmc6wuOnvelPcOMyf1
78,Testarossa,"Miami Yacine",9787,https://open.spotify.com/track/5f6Bft94CPc7caZuqywckE
79,"Burn Out (feat. Dewain Whitmore)","Martin Garrix",9702,https://open.spotify.com/track/7IWTIkiWGWNQyYfOLdMrGD
80,Flames,"David Guetta",9544,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
81,SWISH,Tyga,9457,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
82,"Für Euch alle (feat. Samra & Capital Bra)",Bushido,9451,https://open.spotify.com/track/78CLZUWhsxIDwObCKOh1fh
83,"Us Mänsch",Bligg,9336,https://open.spotify.com/track/31FECFP9ymuNzklhLqmaOQ
84,"God is a woman","Ariana Grande",9335,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
85,"Je ne parle pas français - Beatgees Remix",Namika,9262,https://open.spotify.com/track/0LH2h4pwiX1iY3KDuONOb6
86,Sonnenbrille,Loredana,9129,https://open.spotify.com/track/14kafeLy8vQRvGhA9nQnC8
87,"Stepping Stone",Eminem,9049,https://open.spotify.com/track/60Z57Wdrn0pEVpHI7d7GAX
88,"Ocean (feat. Khalid)","Martin Garrix",8992,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
89,Djadja,"Aya Nakamura",8963,https://open.spotify.com/track/3XfnssSD9HMQ9LhVOJvXTE
90,"rockstar (feat. 21 Savage)","Post Malone",8814,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
91,"God's Plan",Drake,8748,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
92,"Ma 6t a craqué (feat. Ninho)",Kpoint,8735,https://open.spotify.com/track/2NUIWpL6IsYGkwfSN7basS
93,Copines,"Aya Nakamura",8699,https://open.spotify.com/track/3AZg5nZgMquXJ67KgpngKX
94,"Toto (feat. RAF Camora)",Noizy,8593,https://open.spotify.com/track/1fyvQWmRbW81M0xXKI1Rrk
95,changes,XXXTENTACION,8590,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
96,Calypso,"Luis Fonsi",8542,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
97,"Shape of You","Ed Sheeran",8493,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
98,"GIGI (ZKITTLEZ)",Gringo,8490,https://open.spotify.com/track/0w7Yk16SqMY7BioZktmcYm
99,Habibo,Veysel,8332,https://open.spotify.com/track/194IS9NnPN3clG6v3BakTR
100,"Jocelyn Flores",XXXTENTACION,8313,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
101,"RAP DEVIL","Machine Gun Kelly",8292,https://open.spotify.com/track/63TyoT9Ee03rQxv8xmdJ2l
102,"High On Life (feat. Bonn)","Martin Garrix",8266,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
103,"Berlin lebt","Capital Bra",8247,https://open.spotify.com/track/1zl1smQ584EZKCfLVeYWNq
104,Eksi,Mert,8195,https://open.spotify.com/track/3MhCFPbAnGEboerYtltiPk
105,Normal,Eminem,8169,https://open.spotify.com/track/0evt4UZbdhnHtcAnxkm6A1
106,"Borsello (feat. Sfera Ebbasta & DrefGold)","Gue Pequeno",8160,https://open.spotify.com/track/6gAySqc7QK27KEASxmc7Ag
