,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"Survive (feat. Emeli Sandé, Gucci Mane)","Don Diablo",1652,https://open.spotify.com/track/0ZK4SbP0mgjTlvLiSBbhsd
57,IDGAF,"Dua Lipa",1635,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
58,"rockstar (feat. 21 Savage)","Post Malone",1629,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
59,"Taste (feat. Offset)",Tyga,1619,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
60,"God is a woman","Ariana Grande",1618,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
61,Believer,"Imagine Dragons",1611,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
62,"Paul - Skit","Paul Rosenberg",1563,https://open.spotify.com/track/0Uv5Kp8sEnriJjkX4oLfNI
63,"Praise The Lord (Da Shine)","A$AP Rocky",1534,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
64,"no tears left to cry","Ariana Grande",1523,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
65,"V Meste Snov",Ego,1497,https://open.spotify.com/track/5h0qay449Zex9XSHxNuzm7
66,"Remind Me to Forget",Kygo,1496,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
67,Thunder,"Imagine Dragons",1495,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
68,Moonlight,XXXTENTACION,1490,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
69,STARGAZING,"Travis Scott",1474,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
70,Vozíme,Ego,1433,https://open.spotify.com/track/2ZkzWeBRaUDWiM1So7KBK7
71,"Shape of You","Ed Sheeran",1423,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
72,"Side Effects","The Chainsmokers",1422,https://open.spotify.com/track/3OtQmFLS5b3pTgIf44GQFJ
73,"Pretty Little Fears (feat. J. Cole)",6LACK,1385,https://open.spotify.com/track/4at3d5QWnlibMVN75ECDrp
74,Kardio,DMS,1333,https://open.spotify.com/track/0obTY1gBcnUEIKzrokCzWS
75,Flames,"David Guetta",1332,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
76,"Like I Love You","Lost Frequencies",1327,https://open.spotify.com/track/2ZrM2IfZelBZMZoBq9y4kj
77,"Want To","Dua Lipa",1321,https://open.spotify.com/track/0CBFOvHlyqy30Q5tbyNHfQ
78,FRIENDS,Marshmello,1315,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
79,Shotgun,"George Ezra",1305,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
80,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,1302,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
81,"Self Care","Mac Miller",1297,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
82,"Em Calls Paul - Skit",Eminem,1263,https://open.spotify.com/track/6B3zy3LOKHndqsviCr2z15
83,Havana,"Camila Cabello",1243,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
84,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",1232,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
85,"New Rules","Dua Lipa",1230,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
86,"Emma Smetana","Robin Zoot",1214,https://open.spotify.com/track/3sEdFCqhm6qwN0ncMpPDqD
87,"RAP DEVIL","Machine Gun Kelly",1207,https://open.spotify.com/track/63TyoT9Ee03rQxv8xmdJ2l
88,"God's Plan",Drake,1199,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
