,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"Sincerity Is Scary","The 1975",10775,https://open.spotify.com/track/06Vthiq8nNDuT5nOcch535
57,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",10595,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
58,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,10584,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
59,"Don’t Matter To Me (with Michael Jackson)",Drake,10511,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
60,"God's Plan",Drake,10425,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
61,"First Time",M-22,10326,https://open.spotify.com/track/25Mf35cnnFalpVNFp0g3hW
62,"Praise The Lord (Da Shine)","A$AP Rocky",10003,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
63,"Nice For What",Drake,9941,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
64,Moonlight,XXXTENTACION,9845,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
65,Flames,"David Guetta",9499,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
66,"Shape of You","Ed Sheeran",9155,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
67,"Panic Room",Au/Ra,8992,https://open.spotify.com/track/3MkuFR7t25mu7Iscp6GGiV
68,Ketamine,Versatile,8984,https://open.spotify.com/track/34gM5PULxWtqbplXUwbAo8
69,"rockstar (feat. 21 Savage)","Post Malone",8944,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
70,"Side Effects","The Chainsmokers",8941,https://open.spotify.com/track/3OtQmFLS5b3pTgIf44GQFJ
71,"Jocelyn Flores",XXXTENTACION,8865,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
72,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,8862,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
73,Africa,Toto,8573,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
74,"New Rules","Dua Lipa",8485,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
75,"Stepping Stone",Eminem,8411,https://open.spotify.com/track/60Z57Wdrn0pEVpHI7d7GAX
76,"I'm a Mess","Bebe Rexha",8401,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
77,"I'll Be There","Jess Glynne",8378,https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn
78,"Venom - Music From The Motion Picture",Eminem,8331,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
79,Normal,Eminem,8206,https://open.spotify.com/track/0evt4UZbdhnHtcAnxkm6A1
