,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Air Max",Rim'K,10521,https://open.spotify.com/track/2XESFfYekQ0mRau2GXjT3E
56,Flames,"David Guetta",10461,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
57,Better,Khalid,10326,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
58,Fall,Eminem,9602,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
59,"Thunderclouds with Sia, Diplo & Labrinth",Sia,9305,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
60,"Born To Be Yours",Kygo,9249,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
61,"Feu de bois",Damso,9093,https://open.spotify.com/track/4L0Iwsk1s8cbdBcEgdm8K5
62,"Burn Out (feat. Dewain Whitmore)","Martin Garrix",9091,https://open.spotify.com/track/7IWTIkiWGWNQyYfOLdMrGD
63,IDGAF,"Dua Lipa",8980,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
64,Melody,"Lost Frequencies",8758,https://open.spotify.com/track/5r49JKf2vWBF0CQjZewJ0O
65,"rockstar (feat. 21 Savage)","Post Malone",8625,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
66,"New Rules","Dua Lipa",8524,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
67,BEBE,6ix9ine,8420,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
68,"Like I Love You","Lost Frequencies",8311,https://open.spotify.com/track/2ZrM2IfZelBZMZoBq9y4kj
69,changes,XXXTENTACION,8251,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
70,"Not Alike (feat. Royce Da 5'9)",Eminem,8207,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
71,Nonstop,Drake,8193,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
72,"Jocelyn Flores",XXXTENTACION,8116,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
73,"La thune",Angèle,8074,https://open.spotify.com/track/5JlGAhWabxmwpyNyiEumzr
