,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,IDGAF,"Dua Lipa",1920,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
57,Nevermind,"Dennis Lloyd",1901,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
58,"Mo Bamba","Sheck Wes",1866,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
59,REMEDY,Alesso,1830,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
60,"Balenciaga Challenge (feat. Offset)",6LACK,1828,https://open.spotify.com/track/6Zisja44KqMZj4GM4UY6Yv
61,Believer,"Imagine Dragons",1800,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
62,"Good Guy (feat. Jessie Reyez)",Eminem,1771,https://open.spotify.com/track/4g32MdRoqwGKQd3NXIRhpU
63,SWISH,Tyga,1745,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
64,"New Rules","Dua Lipa",1670,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
65,Havana,"Camila Cabello",1670,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
66,"Don’t Matter To Me (with Michael Jackson)",Drake,1660,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
67,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",1637,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
68,"Nice Guy (with Jessie Reyez)",Eminem,1635,https://open.spotify.com/track/09FfQO3PqHO4HIJL511Ksi
69,"Feels Like Summer","Childish Gambino",1553,https://open.spotify.com/track/7p4vHnYXkxlzvfePJVpcTr
70,Medusa,Snik,1551,https://open.spotify.com/track/4dZsxlUWfHgpmIKIGQy9kR
71,"Paul - Skit","Paul Rosenberg",1551,https://open.spotify.com/track/0Uv5Kp8sEnriJjkX4oLfNI
72,Thunder,"Imagine Dragons",1550,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
73,Flames,"David Guetta",1543,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
74,"Call Out My Name","The Weeknd",1519,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
75,"Shape of You","Ed Sheeran",1504,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
76,Giati,Melisses,1490,https://open.spotify.com/track/0jB3HjnsEVcbBPSt7q5coh
77,"Want To","Dua Lipa",1452,https://open.spotify.com/track/0CBFOvHlyqy30Q5tbyNHfQ
