,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,"Jennie (feat. R. City, Bori)","Felix Jaehn",133168,https://open.spotify.com/track/1iBOPEE6fIMsl7GMMcEyCF
58,"Ein Problem mit Alkohol",Alligatoah,131838,https://open.spotify.com/track/7rsE2eXXUbekAmpHkpiKxM
59,"The Ringer",Eminem,131270,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
60,Penthouse,Eno,130420,https://open.spotify.com/track/43aHoeHvYOBBvzZdopsA4e
61,"Better Now","Post Malone",129483,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
62,"Born To Be Yours",Kygo,124754,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
63,"Toto (feat. RAF Camora)",Noizy,124172,https://open.spotify.com/track/1fyvQWmRbW81M0xXKI1Rrk
64,"One Kiss (with Dua Lipa)","Calvin Harris",123329,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
65,SWISH,Tyga,121438,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
66,"I Like It","Cardi B",121400,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
67,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",118702,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
68,Natural,"Imagine Dragons",116307,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
69,"Kennzeichen B-TK","Capital Bra",115892,https://open.spotify.com/track/4kAIdBQEmb1M9ryd9tNSCD
70,Alli-Alligatoah,Alligatoah,115682,https://open.spotify.com/track/6i7N2P5oPwqJ6tnh6BUIoQ
71,"Tamam Tamam","Summer Cem",115345,https://open.spotify.com/track/2eRq2jwsZtb0uGH4qUsvT1
72,"Wann dann","Capital Bra",115190,https://open.spotify.com/track/3LMQL9CSxvUP2m8FeFszP6
73,"Hubba Bubba",Massiv,115099,https://open.spotify.com/track/5JmBRZy6cXuqJntsAjcGhC
74,"Berlin lebt","Capital Bra",113978,https://open.spotify.com/track/1zl1smQ584EZKCfLVeYWNq
75,Sonnenbrille,Loredana,112709,https://open.spotify.com/track/14kafeLy8vQRvGhA9nQnC8
76,"Burn Out (feat. Dewain Whitmore)","Martin Garrix",109736,https://open.spotify.com/track/7IWTIkiWGWNQyYfOLdMrGD
77,"SICKO MODE","Travis Scott",109246,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
78,"Sex Tape","Katja Krasavice",109040,https://open.spotify.com/track/1zOMSnF631rlPHlS4hH9rV
79,SAD!,XXXTENTACION,108830,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
80,40K,Ufo361,108523,https://open.spotify.com/track/5xnKRr7fCLm0Gew1TBou7e
81,"Immer wenn wir uns sehn (""Das schönste Mädchen der Welt"", Soundtrack)",LEA,105634,https://open.spotify.com/track/5psDugCQ2V8uayDeSuTvdD
82,"Thunderclouds with Sia, Diplo & Labrinth",Sia,103653,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
83,Hass,Alligatoah,103107,https://open.spotify.com/track/5gZEJ0sYazk0aOfheH11To
84,"Happy Now",Zedd,101617,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
85,"Zu dir",LEA,99176,https://open.spotify.com/track/654asYGOrY9LZLiQD73O4F
86,"Need A Face",Alligatoah,98738,https://open.spotify.com/track/2pzZYQwdwK2XUAmyQcxrxZ
87,"I'm a Mess","Bebe Rexha",98423,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
88,"Was Du Liebe nennst",Bausa,96827,https://open.spotify.com/track/2hIY4sjfMeKwXXh2LvhrMo
89,Paradies,Ufo361,94796,https://open.spotify.com/track/2kx7rcukcL50UysnBiWJxf
90,"Santorini (feat. Veysel)","Summer Cem",93200,https://open.spotify.com/track/1ZQhnmtZ2tq1t3TzguTciR
91,"Füttern verboten",Alligatoah,92825,https://open.spotify.com/track/3V6EyixZDS1x48sTwpFs8i
92,"God is a woman","Ariana Grande",92629,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
93,"Change Your Mind",ELI,91359,https://open.spotify.com/track/4kOlyvj9WiPrI4zpmzKAeA
94,"Electricity (with Dua Lipa)","Silk City",91025,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
95,"30 km/h","PA Sports",90740,https://open.spotify.com/track/0fRoN30HIQ9pju3O6HLsTz
96,"Beautiful (feat. Camila Cabello)",Bazzi,89640,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
97,Better,Khalid,89331,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
98,BEBE,6ix9ine,88192,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
99,breathin,"Ariana Grande",87605,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
100,Greatest,Eminem,86491,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
101,"Not Alike (feat. Royce Da 5'9)",Eminem,86416,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
102,"Die grüne Regenrinne I",Alligatoah,85856,https://open.spotify.com/track/1SNPOtkbItjwaLERMBsAkz
103,"Ohne mein Team","Bonez MC",85531,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
104,"Wo kann man das kaufen",Alligatoah,84930,https://open.spotify.com/track/07ow7Aog78Gb0OnavPf8i9
105,"Fame (feat. RAF Camora)","Kontra K",83720,https://open.spotify.com/track/1imtCbjVIxYIkurjkye7Dg
106,Meinungsfrei,Alligatoah,83518,https://open.spotify.com/track/6n2472uMganlsCMqVWLGat
107,"Praise The Lord (Da Shine)","A$AP Rocky",82930,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
108,"Freie Liebe",Alligatoah,82264,https://open.spotify.com/track/2h42lqXCWJLwc7Ru5EE2Va
109,"rockstar (feat. 21 Savage)","Post Malone",81935,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
110,Magisch,Olexesh,81860,https://open.spotify.com/track/4gnuy9VBU2GGrN60UMB79t
111,Moonlight,XXXTENTACION,81144,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
112,Supernova,Marteria,80918,https://open.spotify.com/track/2PogneD4c7isUlvNo2k2XM
113,"5 Songs in einer Nacht","Capital Bra",79762,https://open.spotify.com/track/72gemWtPeCOrRnX4PhjNNk
114,"Wake Up in the Sky","Gucci Mane",79289,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
