,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Don’t Matter To Me (with Michael Jackson)",Drake,1448,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
56,"Like I Love You","Lost Frequencies",1423,https://open.spotify.com/track/2ZrM2IfZelBZMZoBq9y4kj
57,Darkside,"Alan Walker",1405,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
58,"I Like It","Cardi B",1314,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
59,"rockstar (feat. 21 Savage)","Post Malone",1289,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
60,"Sincerity Is Scary","The 1975",1275,https://open.spotify.com/track/06Vthiq8nNDuT5nOcch535
61,"Born To Be Yours",Kygo,1222,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
62,"Ieškau - Remix","8 Kambarys",1192,https://open.spotify.com/track/4IqUG5Xs7IVlmGtpbN1vya
63,"I'm a Mess","Bebe Rexha",1187,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
64,"High On Life (feat. Bonn)","Martin Garrix",1152,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
65,STARGAZING,"Travis Scott",1152,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
66,"Want To","Dua Lipa",1146,https://open.spotify.com/track/0CBFOvHlyqy30Q5tbyNHfQ
67,"Keep It To Myself",Jovani,1137,https://open.spotify.com/track/3FHQrn89yVW4E5bbsS4zVf
68,"no tears left to cry","Ariana Grande",1136,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
69,"Tu Esi Noriu",Alekna,1083,https://open.spotify.com/track/78i8iurL40PO7Rzstks3Jl
70,"BIG LOVE","The Black Eyed Peas",1078,https://open.spotify.com/track/0b7ilDLShQaEBvTeoVVyS8
71,"Jocelyn Flores",XXXTENTACION,1078,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
72,"Dancing In The Moonlight (feat. NEIMY)",Jubel,1068,https://open.spotify.com/track/4Vs8RLrUdDXeaZbNeIOrtn
73,Normal,Eminem,1058,https://open.spotify.com/track/0evt4UZbdhnHtcAnxkm6A1
74,"Stepping Stone",Eminem,1051,https://open.spotify.com/track/60Z57Wdrn0pEVpHI7d7GAX
75,"Drew Barrymore","Bryce Vine",1048,https://open.spotify.com/track/0OgGn1ofaj55l2PcihQQGV
76,"High Hopes","Panic! At The Disco",1042,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
77,"Mo Bamba","Sheck Wes",1034,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
78,"Good Guy (feat. Jessie Reyez)",Eminem,1029,https://open.spotify.com/track/4g32MdRoqwGKQd3NXIRhpU
79,"Livin' In a Dream (feat. Nipsey Hussle)","The Neighbourhood",1016,https://open.spotify.com/track/0OFx0tbEJYA9adkwDtQxvY
